Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,A8-3520M APU,35.9,67.8,120,122,123,1300,97,60,Amazon
AMD,A6-5200 APU,32.4,64.7,120,123,123,9700,98,,
AMD,Phenom 9150e,31.5,62.5,118,121,122,930,96,,
AMD,Phenom II P960,31.1,62.2,118,121,122,1100,100,,
AMD,A6-3410MX APU,34.1,66,116,118,120,1000,98,,
AMD,A8-4500M APU,39,70.3,119,120,120,9400,100,,
AMD,A6-3420M APU,34.9,66.7,115,118,119,4300,100,,
AMD,A6-9500 APU (2016 D.BR),67.2,117,119,122,119,2300,58,,
AMD,Phenom II P940,29.5,59.5,112,113,117,84,93,,
AMD,A6-7470K APU (2014 D.Ka),65.8,114,116,117,117,217,72,,
AMD,A4-7210 APU (2015 M.Ca),33.8,65.9,112,115,116,2000,78,,
AMD,A8-3500M APU,33.1,62.8,113,115,116,1300,98,60,Amazon
AMD,A10-4655M APU,38.4,68,113,114,115,1800,97,,
AMD,Phenom X3 8650,39.1,77.2,112,115,115,1400,98,,
AMD,Phenom II X2 565,58.6,110,113,115,115,364,100,,
AMD,A8-5545M APU,36.6,67.8,113,114,113,2600,95,,
AMD,A6-3500 APU,40.3,78.3,110,112,113,2600,98,75,Amazon
AMD,A10-7300 APU (2014 M.Ka),39.9,68,111,113,113,5900,94,,
AMD,Athlon II X2 270,57.1,108,110,112,113,5800,100,,
AMD,Athlon II X2 265,56.9,107,109,111,112,659,100,,
AMD,A6-6400K APU,65.3,109,111,112,112,13000,99,,
AMD,A6-7400K APU (2014 D.Ka),62.2,108,110,112,111,8400,90,,
AMD,Phenom II N850,37,74.5,108,109,110,302,97,,
AMD,A6-9500E APU (2016 D.BR),60.7,106,110,111,110,216,55,,
AMD,A4-6210 APU R3 Graphics,28.8,57.9,106,109,110,5100,93,,
AMD,E2-7110 APU (2015 M.Ca),29,57.8,106,109,109,4900,76,,
AMD,Phenom II X2 560,55.8,105,108,109,108,1700,98,,
AMD,A9-9430 APU (2016 M.SR),60,104,107,109,108,873,58,,
AMD,A4-6320 APU,61.8,101,103,106,107,554,92,,
AMD,A8-7100 APU (2014 M.Ka),36.9,63.3,104,106,107,1000,88,,
AMD,Athlon II X2 260,54.8,104,106,107,107,5000,98,,
AMD,Phenom II X2 555,54.7,103,105,107,107,4500,99,,
AMD,Phenom II X2 550,54.1,103,105,106,106,3700,100,,
AMD,Phenom X3 8450,35.8,71.2,102,104,106,1700,99,,
AMD,A4-6300 APU,62.3,103,105,106,105,11000,94,,
AMD,Phenom II N830,34.9,70.1,101,103,104,677,100,,
AMD,A6-3400M APU,30.8,58.4,102,104,104,3500,101,,
AMD,A9-9420 APU (2016 M.SR),59.8,99.6,102,106,104,14000,58,,
AMD,A9-9410 APU (2016 M.SR),57.1,97.8,101,102,103,5900,71,,
AMD,Athlon II X2 255,52.4,98.9,100,102,102,3500,97,,
AMD,A9-9425 APU (2016 M.SR),59,98.5,100,103,102,15000,48,,
AMD,Athlon 64 X2 Dual Core 6400 ,51.9,96.9,98.8,100,101,860,97,,
